PoleNum,Latitude,Longitude,Ownership%,Owner1,Owner2,Owner3,Attachment#,"Renter Company","Start Date","Attachment Asset Type","Attachment Type","Attachment Method","Colashed to",Comment1,Comment2,"Pole Status","Attachment Status","Pole Mobile3","Valid Attachment","Data as of"
1311450,47.603441501693,-122.3169021767,100,SCL,,,3427875,"VERIZON BUSINESS",2021/06/22,JUATTACH,CABLE,DIRECT,,"App# 20-106",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1311427,47.604034048,-122.3187727739,50,SCL,CLINK,,3427873,"VERIZON BUSINESS",2021/06/22,JUATTACH,CABLE,DIRECT,,"App# 20-106",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1311404,47.607540113075,-122.3236223132,50,SCL,CLINK,,3427823,"VERIZON BUSINESS",2021/04/19,JUATTACH,CABLE,DIRECT,,"App# 20-052",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1312950,47.635889381822,-122.3202188569,33,SCL,CLINK,METRO,3425344,"VERIZON BUSINESS",2021/03/08,JUATTACH,CABLE,DIRECT,,"App# 19-010",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1369056,47.66498643806,-122.3764316392,33,SCL,CLINK,METRO,3427898,"VERIZON BUSINESS",2021/06/03,JUATTACH,CABLE,DIRECT,,"App# 20-126",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1312946,47.635883469384,-122.3207016159,50,SCL,CLINK,,3426030,"VERIZON BUSINESS",2021/03/16,JUATTACH,CABLE,DIRECT,,"App# 21-027",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1312965,47.639279307231,-122.3201591788,33,SCL,CLINK,METRO,3425345,"VERIZON BUSINESS",2021/03/08,JUATTACH,CABLE,DIRECT,,"App# 19-010",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374913,47.667457008361,-122.3845658831,50,SCL,CLINK,,3427695,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374914,47.667251404748,-122.384329263,50,SCL,CLINK,,3427696,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374915,47.667046437475,-122.3840720021,50,SCL,CLINK,,3427697,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
